month,flow,category,region,amount
2023-01,expense,COGS,West,130481.41
2023-01,expense,Marketing,West,91381.48
2023-01,expense,Payroll,HQ,258472.22
2023-01,expense,Professional Services,West,25116.07
2023-01,expense,Rent & Utilities,HQ,64387.3
2023-01,expense,Software & IT,North,48906.48
2023-01,expense,Travel,West,25834.51
2023-01,income,Interest Income,North,8758.52
2023-01,income,Interest Income,South,9498.19
2023-01,income,Interest Income,East,9038.35
2023-01,income,Interest Income,West,8113.57
2023-01,income,Product Sales,North,98173.77
2023-01,income,Product Sales,South,87863.94
2023-01,income,Product Sales,East,101591.21
2023-01,income,Product Sales,West,103048.81
2023-01,income,Services,North,32351.57
2023-01,income,Services,South,34341.48
2023-01,income,Services,East,38727.06
2023-01,income,Services,West,37365.15
2023-01,income,Subscriptions,North,31322.84
2023-01,income,Subscriptions,South,29224.54
2023-01,income,Subscriptions,East,33571.59
2023-01,income,Subscriptions,West,33316.64
2023-02,expense,COGS,North,148121.78
2023-02,expense,Marketing,West,93195.54
2023-02,expense,Payroll,HQ,233401.18
2023-02,expense,Professional Services,North,27081.15
2023-02,expense,Rent & Utilities,HQ,71534.49
2023-02,expense,Software & IT,South,53817.37
2023-02,expense,Travel,West,28107.09
2023-02,income,Interest Income,North,7944.83
2023-02,income,Interest Income,South,8948.57
2023-02,income,Interest Income,East,9011.62
2023-02,income,Interest Income,West,8875.46
2023-02,income,Product Sales,North,97548.88
2023-02,income,Product Sales,South,96299.87
2023-02,income,Product Sales,East,96653.83
2023-02,income,Product Sales,West,96789.22
2023-02,income,Services,North,43838.01
2023-02,income,Services,South,36208.95
2023-02,income,Services,East,35892.1
2023-02,income,Services,West,34989.3
2023-02,income,Subscriptions,North,32130.05
2023-02,income,Subscriptions,South,33386.73
2023-02,income,Subscriptions,East,30341.96
2023-02,income,Subscriptions,West,28562.98
2023-03,expense,COGS,South,160135.58
2023-03,expense,Marketing,South,81879.58
2023-03,expense,Payroll,HQ,242963.58
2023-03,expense,Professional Services,North,28666.44
2023-03,expense,Rent & Utilities,HQ,59440.02
2023-03,expense,Software & IT,West,48698.81
2023-03,expense,Travel,South,27196.82
2023-03,income,Interest Income,North,10440.3
2023-03,income,Interest Income,South,10540.02
2023-03,income,Interest Income,East,10605.54
2023-03,income,Interest Income,West,9694.39
2023-03,income,Product Sales,North,115238.74
2023-03,income,Product Sales,South,96910.79
2023-03,income,Product Sales,East,106893.22
2023-03,income,Product Sales,West,105570.69
2023-03,income,Services,North,41636.76
2023-03,income,Services,South,42913.6
2023-03,income,Services,East,49127.23
2023-03,income,Services,West,40840.07
2023-03,income,Subscriptions,North,38682.37
2023-03,income,Subscriptions,South,31067.98
2023-03,income,Subscriptions,East,34939.54
2023-03,income,Subscriptions,West,36368.81
2023-04,expense,COGS,East,123570.74
2023-04,expense,Marketing,South,80908.37
2023-04,expense,Payroll,HQ,254718.38
2023-04,expense,Professional Services,South,30539.47
2023-04,expense,Rent & Utilities,HQ,60831.43
2023-04,expense,Software & IT,North,56216.86
2023-04,expense,Travel,South,24580.6
2023-04,income,Interest Income,North,10672.85
2023-04,income,Interest Income,South,10853.27
2023-04,income,Interest Income,East,10223.55
2023-04,income,Interest Income,West,9955.78
2023-04,income,Product Sales,North,114789.83
2023-04,income,Product Sales,South,119025.13
2023-04,income,Product Sales,East,110546.96
2023-04,income,Product Sales,West,117494.28
2023-04,income,Services,North,42939.88
